,name,rank,target,type,base_damage,upgraded_damage,base_crit,upgraded_crit,base_self,upgraded_self,base_cooldown,upgraded_cooldown,base_effect,upgraded_effect,target_restriction,notes,hero_id,base_uses,upgraded_uses,path_name,skill_name,hero_name
178,Chop (Monarch),..oo,oo..,melee,1-7,1-11,0.0,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0," Ignores {{Blind}} when Target {{Combo}} <br>  <span class""buff-dd2"">+7</span> DMG Vs. [[Cosmic (Darkest Dungeon II)|Cosmic]] }}",,,,Lep,inf,inf,Monarch,Chop,Leper
179,Purge,...o,o...,melee,2-4,3-5,0.05,0.0,,,0,0," {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>"," {{Combo}}<br /> {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},Lep,inf,inf,Wanderer,Purge,Leper
180,Purge (Poet),...o,o...,melee,2-3,3-4,0.05,0.0,,,0,0," {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>"," {{Combo}}<br /> {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}} }},Lep,inf,inf,Poet,Purge,Leper
181,Purge (Monarch),...o,o...,melee,2-4,3-5,0.05,0.0,,,0,0," Add {{Vuln}}<br /> {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>"," {{Vuln}}, {{Combo}}<br /> {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}} }},Lep,inf,inf,Monarch,Purge,Leper
182,Withstand,.ooo,self,buff,,,0.0,0.0," {{Block|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+15}} {{Move2|res|+15}} (3 Turns) <br> Turn Start: {{Block}} (3 Turns)"," {{Block+|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+25}} {{Move2|res|+25}} (3 Turns) <br> {{Buff2|}} Turn Start: {{Block}} (3 Turns)",3,0,,,,,Lep,2.0,inf,Wanderer,Withstand,Leper
183,Solemnity,..oo,self,heal,,,0.0,0.0,If {{HP2}} < 33%: {{HP2|heal|33%}} <br> {{Stress2|-2}},If {{HP2}} < 33%: {{HP2|heal|50%}} <br>  {{Stress2|-3}},0,0,,,,,Lep,2.0,inf,Wanderer,Solemnity,Leper
184,Solemnity (Poet),..oo,self,heal,,,0.0,0.0,If {{HP2}} < 33%: {{HP2|heal|50%}} <br> {{Stress2|-2}},If {{HP2}} < 33%: {{HP2|heal|75%}} <br> {{Stress2|-3}} }},0,0,,,,,Lep,2.0,inf,Poet,Solemnity,Leper
185,Reflection,..oo,self,buff,,,0.0,0.0," {{Stress2|-1}}<br /> Remove {{Blind}}, {{Combo}}"," {{Stress2|-2}}<br /> Remove {{Blind}}, {{Combo}}<br /> {{Buff2}}: {{Debuff2|res|+20}} (3 Turns)",1,0,,,,,Lep,inf,inf,Wanderer,Reflection,Leper
186,Hew,..oo,o-o..,melee,3-7,4-9,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0,Ignores {{Blind}} when Target {{Combo}},,,Will ignore {{Blind}} for both targets even if only one of them has {{Combo}}.,Lep,inf,inf,Wanderer,Hew,Leper
187,Hew (Poet),..oo,o-o..,melee,3-5,4-7,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0,Ignores {{Blind}} when Target {{Combo}} ,,,Will ignore {{Blind}} for both targets even if only one of them has {{Combo}}. }},Lep,inf,inf,Poet,Hew,Leper
188,Revenge,oooo,self,buff,,,0.0,0.0, {{Vuln|2}}<br /> {{Buff2}} Turn Start: {{Strength}} (3 Turns):, {{Vuln}}<br /> {{Weak|remove}}<br /> {{Buff2}}Turn Start: {{Strength}} {{Crit}} (15%) (3 Turns),3,0,,,,The {{Vuln|-}} tokens cannot be resisted. }},Lep,2.0,inf,Wanderer,Revenge,Leper
189,Intimidate,...o,oooo,melee,1-2,2-3,0.05,0.0,{{Taunt|2}},,0,0,{{Weak|2}}, {{Stealth2|ignore}}<br /> {{Stealth2|remove}}<br /> {{Weak|2}},,,Lep,inf,inf,Wanderer,Intimidate,Leper
190,Intimidate (Monarch),...o,oooo,melee,1-2,2-3,0.05,0.0,{{Taunt|2}},,0,0,"{{Weak|2}}, {{Vuln}}"," {{Stealth2|ignore}}<br /> {{Stealth2|remove}}<br /> {{Weak|2}}, {{Vuln}} }}",,,Lep,inf,inf,Monarch,Intimidate,Leper
191,Ruin,.ooo,self,buff,,,0.0,0.0," {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)"," {{Bleed2|2}}<br /> {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)",3,0,,,,"The buff from receiving damage will only last for as long as the buff from Ruin itself lasts, meaning that three turns after pressing the skill, all the damage buffs will be removed regardless of when you received the damage. }}",Lep,2.0,inf,Wanderer,Ruin,Leper
192,Break,..oo,oo..,melee,4-7,4-10,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, {{Block|ignore}}<br /> {{Block|remove}}<br /> Ignores {{Blind}} when Target {{Combo}},,,,Lep,inf,inf,Wanderer,Break,Leper
193,Break (Poet),..oo,oo..,melee,3-5,4-7,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, {{Block|ignore}}<br /> {{Block|remove}} <br /> Ignores {{Blind}} when Target {{Combo}},,,,Lep,inf,inf,Poet,Break,Leper
194,Bash,..oo,oo..,melee,2-4,3-5,0.05,0.0,{{Immob}},,0,0,"{{Immob}}, {{Daze2}}","{{Immob}}, {{Daze2}}, {{Combo}}",,,Lep,inf,inf,Wanderer,Bash,Leper
179,Purge,...o,o...,melee,2-4,3-5,0.05,0.0,,,0,0," {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>"," {{Combo}}<br /> {{Move2|knockback|3}}<br /> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},Lep,inf,inf,Tempest,Purge,Leper
182,Withstand,.ooo,self,buff,,,0.0,0.0," {{Block|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+15}} {{Move2|res|+15}} (3 Turns) <br> Turn Start: {{Block}} (3 Turns)"," {{Block+|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+25}} {{Move2|res|+25}} (3 Turns) <br> {{Buff2|}} Turn Start: {{Block}} (3 Turns)",3,0,,,,,Lep,2.0,inf,Tempest,Withstand,Leper
183,Solemnity,..oo,self,heal,,,0.0,0.0,If {{HP2}} < 33%: {{HP2|heal|33%}} <br> {{Stress2|-2}},If {{HP2}} < 33%: {{HP2|heal|50%}} <br>  {{Stress2|-3}},0,0,,,,,Lep,2.0,inf,Tempest,Solemnity,Leper
185,Reflection,..oo,self,buff,,,0.0,0.0," {{Stress2|-1}}<br /> Remove {{Blind}}, {{Combo}}"," {{Stress2|-2}}<br /> Remove {{Blind}}, {{Combo}}<br /> {{Buff2}}: {{Debuff2|res|+20}} (3 Turns)",1,0,,,,,Lep,inf,inf,Tempest,Reflection,Leper
186,Hew,..oo,o-o..,melee,3-7,4-9,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0,Ignores {{Blind}} when Target {{Combo}},,,Will ignore {{Blind}} for both targets even if only one of them has {{Combo}}.,Lep,inf,inf,Tempest,Hew,Leper
188,Revenge,oooo,self,buff,,,0.0,0.0, {{Vuln|2}}<br /> {{Buff2}} Turn Start: {{Strength}} (3 Turns):, {{Vuln}}<br /> {{Weak|remove}}<br /> {{Buff2}}Turn Start: {{Strength}} {{Crit}} (15%) (3 Turns),3,0,,,,The {{Vuln|-}} tokens cannot be resisted. }},Lep,2.0,inf,Tempest,Revenge,Leper
189,Intimidate,...o,oooo,melee,1-2,2-3,0.05,0.0,{{Taunt|2}},,0,0,{{Weak|2}}, {{Stealth2|ignore}}<br /> {{Stealth2|remove}}<br /> {{Weak|2}},,,Lep,inf,inf,Tempest,Intimidate,Leper
191,Ruin,.ooo,self,buff,,,0.0,0.0," {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)"," {{Bleed2|2}}<br /> {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)",3,0,,,,"The buff from receiving damage will only last for as long as the buff from Ruin itself lasts, meaning that three turns after pressing the skill, all the damage buffs will be removed regardless of when you received the damage. }}",Lep,2.0,inf,Tempest,Ruin,Leper
192,Break,..oo,oo..,melee,4-7,4-10,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, {{Block|ignore}}<br /> {{Block|remove}}<br /> Ignores {{Blind}} when Target {{Combo}},,,,Lep,inf,inf,Tempest,Break,Leper
194,Bash,..oo,oo..,melee,2-4,3-5,0.05,0.0,{{Immob}},,0,0,"{{Immob}}, {{Daze2}}","{{Immob}}, {{Daze2}}, {{Combo}}",,,Lep,inf,inf,Tempest,Bash,Leper
182,Withstand,.ooo,self,buff,,,0.0,0.0," {{Block|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+15}} {{Move2|res|+15}} (3 Turns) <br> Turn Start: {{Block}} (3 Turns)"," {{Block+|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+25}} {{Move2|res|+25}} (3 Turns) <br> {{Buff2|}} Turn Start: {{Block}} (3 Turns)",3,0,,,,,Lep,2.0,inf,Poet,Withstand,Leper
185,Reflection,..oo,self,buff,,,0.0,0.0," {{Stress2|-1}}<br /> Remove {{Blind}}, {{Combo}}"," {{Stress2|-2}}<br /> Remove {{Blind}}, {{Combo}}<br /> {{Buff2}}: {{Debuff2|res|+20}} (3 Turns)",1,0,,,,,Lep,inf,inf,Poet,Reflection,Leper
188,Revenge,oooo,self,buff,,,0.0,0.0, {{Vuln|2}}<br /> {{Buff2}} Turn Start: {{Strength}} (3 Turns):, {{Vuln}}<br /> {{Weak|remove}}<br /> {{Buff2}}Turn Start: {{Strength}} {{Crit}} (15%) (3 Turns),3,0,,,,The {{Vuln|-}} tokens cannot be resisted. }},Lep,2.0,inf,Poet,Revenge,Leper
189,Intimidate,...o,oooo,melee,1-2,2-3,0.05,0.0,{{Taunt|2}},,0,0,{{Weak|2}}, {{Stealth2|ignore}}<br /> {{Stealth2|remove}}<br /> {{Weak|2}},,,Lep,inf,inf,Poet,Intimidate,Leper
191,Ruin,.ooo,self,buff,,,0.0,0.0," {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)"," {{Bleed2|2}}<br /> {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)",3,0,,,,"The buff from receiving damage will only last for as long as the buff from Ruin itself lasts, meaning that three turns after pressing the skill, all the damage buffs will be removed regardless of when you received the damage. }}",Lep,2.0,inf,Poet,Ruin,Leper
194,Bash,..oo,oo..,melee,2-4,3-5,0.05,0.0,{{Immob}},,0,0,"{{Immob}}, {{Daze2}}","{{Immob}}, {{Daze2}}, {{Combo}}",,,Lep,inf,inf,Poet,Bash,Leper
182,Withstand,.ooo,self,buff,,,0.0,0.0," {{Block|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+15}} {{Move2|res|+15}} (3 Turns) <br> Turn Start: {{Block}} (3 Turns)"," {{Block+|2}}, {{Taunt|2}}<br /> {{Buff2|}} {{DoT2|res|+25}} {{Move2|res|+25}} (3 Turns) <br> {{Buff2|}} Turn Start: {{Block}} (3 Turns)",3,0,,,,,Lep,2.0,inf,Monarch,Withstand,Leper
183,Solemnity,..oo,self,heal,,,0.0,0.0,If {{HP2}} < 33%: {{HP2|heal|33%}} <br> {{Stress2|-2}},If {{HP2}} < 33%: {{HP2|heal|50%}} <br>  {{Stress2|-3}},0,0,,,,,Lep,2.0,inf,Monarch,Solemnity,Leper
185,Reflection,..oo,self,buff,,,0.0,0.0," {{Stress2|-1}}<br /> Remove {{Blind}}, {{Combo}}"," {{Stress2|-2}}<br /> Remove {{Blind}}, {{Combo}}<br /> {{Buff2}}: {{Debuff2|res|+20}} (3 Turns)",1,0,,,,,Lep,inf,inf,Monarch,Reflection,Leper
186,Hew,..oo,o-o..,melee,3-7,4-9,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0,Ignores {{Blind}} when Target {{Combo}},,,Will ignore {{Blind}} for both targets even if only one of them has {{Combo}}.,Lep,inf,inf,Monarch,Hew,Leper
188,Revenge,oooo,self,buff,,,0.0,0.0, {{Vuln|2}}<br /> {{Buff2}} Turn Start: {{Strength}} (3 Turns):, {{Vuln}}<br /> {{Weak|remove}}<br /> {{Buff2}}Turn Start: {{Strength}} {{Crit}} (15%) (3 Turns),3,0,,,,The {{Vuln|-}} tokens cannot be resisted. }},Lep,2.0,inf,Monarch,Revenge,Leper
191,Ruin,.ooo,self,buff,,,0.0,0.0," {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)"," {{Bleed2|2}}<br /> {{Buff2}} When Damaged: <span class""buff-dd2"">+20%</span> DMG (3 Turns)",3,0,,,,"The buff from receiving damage will only last for as long as the buff from Ruin itself lasts, meaning that three turns after pressing the skill, all the damage buffs will be removed regardless of when you received the damage. }}",Lep,2.0,inf,Monarch,Ruin,Leper
192,Break,..oo,oo..,melee,4-7,4-10,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, {{Block|ignore}}<br /> {{Block|remove}}<br /> Ignores {{Blind}} when Target {{Combo}},,,,Lep,inf,inf,Monarch,Break,Leper
194,Bash,..oo,oo..,melee,2-4,3-5,0.05,0.0,{{Immob}},,0,0,"{{Immob}}, {{Daze2}}","{{Immob}}, {{Daze2}}, {{Combo}}",,,Lep,inf,inf,Monarch,Bash,Leper
145,Razor's Wit,ooo.,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|forward|1}}, {{Move2|forward|1}}<br> {{Dodge}},0,0,{{Combo}},,,,Jest,inf,inf,Wanderer,Razor's Wit,Jester
146,Fade to Black,.ooo,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|back|1}},,0,0,{{Blind}}," {{Blind}}, {{Combo}}",,,Jest,inf,inf,Wanderer,Fade to Black,Jester
147,Slice Off,.oo.,.oo.,melee,3-6,4-7,0.05,0.1,,,0,0,{{Bleed2|3}}, {{Bleed2|3}}<br>{{Vuln}},,,Jest,inf,inf,Wanderer,Slice Off,Jester
148,Battle Ballad,ooo.,oooo,buff,,,0.0,0.0,,,1,0, {{Move2|forward|1}}<br>{{Strength}}, {{Move2|forward|2}}<br>{{Strength}}<br>{{Strength}} (85%) or {{Crit}} (15%),,,Jest,inf,inf,Wanderer,Battle Ballad,Jester
149,Battle Ballad (Virtuoso),ooo.,oooo,buff,,,0.0,0.0, {{Buff2|Next Encore}}: {{Strength}}, {{Buff2|Next Encore}}: {{Strength}} (85%) or {{Crit}} (15%),1,0, {{Move2|forward|1}}<br>{{Strength}}, {{Move2|forward|1}}<br>{{Strength}}<br>{{Strength}} (85%) or {{Crit}} (15%) }},,,Jest,inf,inf,Virtuoso,Battle Ballad,Jester
150,Battle Ballad (Soloist),ooo.,oooo,buff,,,0.0,0.0, {{Buff2|Next Finale}}: Ignore {{Blind}}, {{Buff2|Next Finale}}: Ignore {{Blind}} {{Dodge}},1,0, {{Move2|forward|1}}<br>{{Strength}}, {{Move2|forward|1}}<br>{{Strength}}<br>{{Strength}} (85%) or {{Crit}} (15%) }},,,Jest,inf,inf,Soloist,Battle Ballad,Jester
151,Battle Ballad (Intermezzo),ooo.,ooo.,buff,,,0.0,0.0,,,0,0, {{Move2|forward|1}}<br>{{Bleed2|2}}<br>{{Strength}}<br>{{Strength}} (70%) or {{Crit}} (5%) or {{SpeedToken}} (25%)," {{Move2|forward|1}}<br>{{Bleed2|2}}<br>{{Strength}}, {{Crit}} (15%)<br>{{Strength}} (65%) or {{Crit}} (10%) or {{SpeedToken}} (20%) or <span classbuff-dd2"">Extra Action</span> (5%) }}",,,Jest,inf,inf,Intermezzo,Battle Ballad,Jester
152,Inspiring Tune,oo..,oooo,buff,,,0.0,0.0,,,1,0, Requires Target {{Stress2}} 5+:<br>{{Stress2|-2}}, Requires Target {{Stress2}} 5+:<br>{{Stress2|-3}}<br>Remove {{Horror2}},,,Jest,inf,inf,Wanderer,Inspiring Tune,Jester
153,Inspiring Tune (Virtuoso),oo..,oooo,buff,,,0.0,0.0, {{Buff2|Next Encore}}: {{Stress2|res|+25}} (2 Turns), {{Buff2|Next Encore}}: {{Stress2|res|+33}} (2 Turns),1,0, Requires Target {{Stress2}} 5+:{{Stress2|-2}}, Requires Target {{Stress2}} 5+:{{Stress2|-3}}<br>{{Buff2}} {{Stress2|res|+100}} When Stress 7+ }},,,Jest,inf,inf,Virtuoso,Inspiring Tune,Jester
154,Inspiring Tune (Intermezzo),oo..,o-o-o-o,buff,,,0.0,0.0,,,2,0, Requires Target {{Stress2}} 5+:<br>{{Stress2|-1}} When Target Stress 5+<br>{{Stress2|-1}} When Target {{Bleed2}}<br>{{Bleed2|1}}, Requires Target {{Stress2}} 5+<br>or Requires Target {{Bleed2}}:<br>{{Stress2|-1}} When Target Stress 5+<br>{{Stress2|-1}} When Target {{Bleed2}}<br>{{Bleed2|1}} }},,,Jest,inf,inf,Intermezzo,Inspiring Tune,Jester
155,Harvest,.oo.,.o-o.,melee,2-4,3-4,0.05,0.1,,,0,0, {{Bleed2|2}}<br />{{Combo}} (25%), {{Bleed2|3}}<br />{{Combo}} (33%),,,Jest,inf,inf,Wanderer,Harvest,Jester
156,Harvest (Soloist),.ooo,.o-o.,melee,3-5,4-6,0.05,0.1," {{Buff2|Next Finale}}: <span class""heal-dd2"">Heal 20%</span><br><span class""heal-dd2"">Heal 10%</span> When Target {{Bleed2}}"," {{Buff2|Next Finale}}: <span class""heal-dd2"">Heal 30%</span><br><span class""heal-dd2"">Heal 15%</span> When Target {{Bleed2}}",0,0,{{Combo}} (25%),{{Combo}} (33%) }},,,Jest,inf,inf,Soloist,Harvest,Jester
157,Finale,..oo,oooo,ranged,6-12,10-13,0.1,0.2," {{Vuln}}, {{Daze}}<br>{{Move2|back|3}}",,3,0," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}<br><span class""buff-dd2"">On Killing Blow:</span> {{Stress2|-1}}"," {{Execution|1}}<br />Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}<br><span class""buff-dd2"">On Killing Blow:</span> {{Stress2|-1}}",,The {{Vuln}} and {{Daze2}} tokens cannot be resisted.,Jest,inf,inf,Wanderer,Finale,Jester
158,Finale (Virtuoso),..oo,oooo,ranged,6-12,10-13,0.1,0.2," {{Vuln}}, {{Daze}}<br>{{Move2|back|3}}",,3,0," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}<br> <span class""buff-dd2"">Each Ally on Killing Blow</span> {{Stress2|-1}} (50%)"," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}<br> <span class""buff-dd2"">Each Ally on Killing Blow</span> {{Stress2|-1}} (67%) }}",,,Jest,inf,inf,Virtuoso,Finale,Jester
159,Finale (Soloist),..oo,oooo,ranged,6-12,10-13,0.1,0.2," {{Vuln}}, {{Daze}}<br>{{Move2|back|2}}<br>Removes <span class""buff-dd2"">Next Finale</span> Buffs<br>Removes <span class""buff-dd2"">Melee DMG</span> Buffs",,0,0," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}} }}",,,,Jest,3.0,inf,Soloist,Finale,Jester
160,Finale (Intermezzo),..oo,oooo,ranged,6-12,10-13,0.1,0.2," {{Vuln}}, {{Daze}}<br>{{Move2|back|3}}",,3,0," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}"," Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Combo}}<br>Deals <span class""buff-dd2"">+50%</span> DMG When Target {{Bleed2}} }}",,,Jest,inf,inf,Intermezzo,Finale,Jester
161,Solo,oo..,oooo,ranged,,,0.0,0.0," {{Dodge|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}"," {{Dodge+|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}",1,0,{{Combo}},,,,Jest,inf,inf,Wanderer,Solo,Jester
162,Solo (Virtuoso),ooo.,o-o-o-o,ranged,,,0.05,0.1," {{Dodge|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}<br> {{Buff2|Next Encore}}: Remove 1 <span class""debuff-dd2"">Negative</span> Token (67%)"," {{Dodge|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}<br>{{Buff2|Next Encore}}: Remove 1 <span class""debuff-dd2"">Negative</span> Token",0,0," Requires {{Combo}}<br>Random <span class""debuff-dd2"">Negative</span> Token"," Requires {{Combo}}<br>Random <span class""debuff-dd2"">Negative</span> Token<br>{{Combo}}",,<i></i>  * The ''Next Encore'' effect prioritises removing {{StunToken|-}} before other tokens. * Each affected enemy will receive one of the following negative tokens: ** {{Weak}} (35%) ** {{Vuln}} (25%) ** {{Daze2}} (20%) ** {{Blind}} (15%) ** {{StunToken}} (5%) }},Jest,inf,inf,Virtuoso,Solo,Jester
163,Solo (Soloist),ooo.,oooo,ranged,,,0.0,0.0, {{Dodge|2}}<br>{{Taunt|2}}<br>{{Move2|forward|3}}, {{Dodge+|2}}<br>{{Taunt|2}}<br>{{Move2|forward|3}} }},2,0,,,,,Jest,inf,inf,Soloist,Solo,Jester
164,Solo (Intermezzo),oo..,oooo,ranged,,,0.05,0.1," {{Dodge|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}"," {{Dodge+|2}}, {{SpeedToken}}<br>{{Move2|forward|3}}",1,0,{{Combo}}<br> {{Bleed2|2}} }},,,,Jest,inf,inf,Intermezzo,Solo,Jester
165,Play Out,ooo.,oooo,buff,,,0.0,0.0,,,0,0, {{Move2|back|1}}<br>{{Block}}, {{Move2|back|2}}<br>{{Block+}}<br>Remove {{Combo}},,,Jest,inf,inf,Wanderer,Play Out,Jester
166,Play Out (Virtuoso),ooo.,oooo,buff,,,0.0,0.0, {{Buff2|Next Encore}}: {{Block}}," {{Buff2|Next Encore}}: {{Block}}, Remove {{Combo}}",0,0, {{Move2|back|1}}<br>{{Block}}, {{Move2|back|1}}<br>{{Block+}}<br>Remove {{Combo}} }},,,Jest,inf,inf,Virtuoso,Play Out,Jester
167,Play Out (Soloist),ooo.,oooo,buff,,,0.0,0.0, {{Buff2|Next Finale}}: Ignore {{Guard2}}, {{Buff2|Next Finale}}: Ignore {{Guard2}}{{Block}},0,0, {{Move2|back|1}}<br>{{Block}}, {{Move2|back|1}}<br>{{Block+}}<br>Remove {{Combo}} }},,,Jest,inf,inf,Soloist,Play Out,Jester
168,Play Out (Intermezzo),ooo.,.ooo,buff,,,0.0,0.0,,,0,0, {{Move2|back|1}}<br>{{Bleed2|2}}<br>{{Block}}<br>{{Block}} (50%) or {{Dodge}} (25%) or {{SpeedToken}} (25%)," {{Move2|back|1}}<br>{{Bleed2|2}}<br>{{Block+}}<br>{{Block+}} (50%)or {{Dodge+}} (25%) or {{SpeedToken}} (20%) or <span class""heal-dd2"">Heal 100% </span> (5%) }}",,,Jest,inf,inf,Intermezzo,Play Out,Jester
169,Encore,oo..,oooo,buff,,,0.0,0.0, {{Daze2}}<br>{{Weak}}, {{Daze2}},3,2,Extra Action<br>{{Bleed2|2}},,Ally,The {{Daze2}} and {{Weak}} tokens cannot be resisted.,Jest,inf,inf,Wanderer,Encore,Jester
170,Encore (Virtuoso),oooo,o-o-o-o,buff,,,0.0,0.0, {{Move2|back|2}}<br>Remove all {{Buff2|Next Encore}} Buffs,,0,0,"<span class""buff-dd2"">Each Ally:</span> Apply all {{Buff2|Next Encore}} buffs }}",,Ally,,Jest,2.0,4.0,Virtuoso,Encore,Jester
171,Encore (Soloist),oooo,self,buff,,,0.0,0.0," Restore All <span class""buff-dd2"">Last Finale</span> Buffs<br /> {{Move2|forward|1}}"," Restore All <span class""buff-dd2"">Last Finale</span> Buffs<br /> {{Move2|forward|1}}<br /> {{SpeedToken}}",4,2,,,,"<i></i>  * ''Last Finale'' buffs consist of all previously consumed [[#Finale (Soloist)|Finale]] and ''Melee DMG'' buffs. * Restored ''Finale DMG'' and ''Melee DMG'' buffs will be added to the current stacks, up to a limit of 3 stacks total. }}",Jest,inf,inf,Soloist,Encore,Jester
172,Echoing March,oo..,.ooo,ranged,,,0.05,0.1,,,1,0," {{Move2|pull|1}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|pull|1}} (3 Turns)"," {{Move2|pull|2}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|pull|2}} (3 Turns)",,,Jest,inf,inf,Wanderer,Echoing March,Jester
173,Echoing March (Virtuoso),oo..,ooo.,ranged,,,0.05,0.1, {{Buff2|Next Encore}}: {{Speed2|+2}} (3 Turns), {{Buff2|Next Encore}}: {{Speed2|+3}} (3 Turns),1,0," {{Move2|knockback|1}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|knockback|1}}"," {{Move2|knockback|2}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|knockback|1}} }}",,,Jest,inf,inf,Virtuoso,Echoing March,Jester
174,Echoing March (Intermezzo),oo..,.ooo,ranged,,,0.05,0.1,,,1,0," {{Move2|pull|1}}<br>{{Bleed2|2}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|pull|1}}"," {{Move2|pull|1}}<br>{{Bleed2|2}}<br>{{Debuff2}}: <span class""buff-dd2"">Turn Start:</span> {{Move2|pull|1}}<br>{{Debuff2}}: <span class""buff-dd2"">When Moving:</span> {{Bleed2|2}} }}",,,Jest,inf,inf,Intermezzo,Echoing March,Jester
145,Razor's Wit,ooo.,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|forward|1}}, {{Move2|forward|1}}<br> {{Dodge}},0,0,{{Combo}},,,,Jest,inf,inf,Virtuoso,Razor's Wit,Jester
146,Fade to Black,.ooo,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|back|1}},,0,0,{{Blind}}," {{Blind}}, {{Combo}}",,,Jest,inf,inf,Virtuoso,Fade to Black,Jester
147,Slice Off,.oo.,.oo.,melee,3-6,4-7,0.05,0.1,,,0,0,{{Bleed2|3}}, {{Bleed2|3}}<br>{{Vuln}},,,Jest,inf,inf,Virtuoso,Slice Off,Jester
155,Harvest,.oo.,.o-o.,melee,2-4,3-4,0.05,0.1,,,0,0, {{Bleed2|2}}<br />{{Combo}} (25%), {{Bleed2|3}}<br />{{Combo}} (33%),,,Jest,inf,inf,Virtuoso,Harvest,Jester
145,Razor's Wit,ooo.,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|forward|1}}, {{Move2|forward|1}}<br> {{Dodge}},0,0,{{Combo}},,,,Jest,inf,inf,Soloist,Razor's Wit,Jester
146,Fade to Black,.ooo,ooo.,melee,3-6,4-7,0.1,0.15,{{Move2|back|1}},,0,0,{{Blind}}," {{Blind}}, {{Combo}}",,,Jest,inf,inf,Soloist,Fade to Black,Jester
147,Slice Off,.oo.,.oo.,melee,3-6,4-7,0.05,0.1,,,0,0,{{Bleed2|3}}, {{Bleed2|3}}<br>{{Vuln}},,,Jest,inf,inf,Soloist,Slice Off,Jester
152,Inspiring Tune,oo..,oooo,buff,,,0.0,0.0,,,1,0, Requires Target {{Stress2}} 5+:<br>{{Stress2|-2}}, Requires Target {{Stress2}} 5+:<br>{{Stress2|-3}}<br>Remove {{Horror2}},,,Jest,inf,inf,Soloist,Inspiring Tune,Jester
